"GEOID","NAME","resident_jobs","jobs_to_kalamazoo_city","inbound_share_to_kalamazoo","workplace_jobs","jobs_from_kalamazoo_city","outbound_share_from_kalamazoo","bidirectional_jobs","commuter_score","in_kalamazoo_city","data_driven_shed"
"26077003006","30.06",1695,371,0.218879056047198,244,34,0.139344262295082,405,0.35822331834228,FALSE,"Inbound shed"
"26077002908","29.08",1965,539,0.274300254452926,2067,165,0.0798258345428157,704,0.354126088995742,FALSE,"Inbound shed"
"26077002910","29.10",1762,380,0.21566401816118,1928,261,0.135373443983402,641,0.351037462144583,FALSE,"Inbound shed"
"26077001905","19.05",2034,495,0.243362831858407,9399,985,0.104798382806682,1480,0.348161214665089,FALSE,"Inbound shed"
"26077002201","22.01",853,166,0.194607268464244,1308,200,0.152905198776758,366,0.347512467241002,FALSE,"Inbound shed"
"26077002002","20.02",1830,431,0.23551912568306,2860,311,0.108741258741259,742,0.344260384424319,FALSE,"Inbound shed"
"26077006702","67.02",2674,571,0.213537771129394,4309,525,0.1218380134602,1096,0.335375784589594,FALSE,"Inbound shed"
"26077002003","20.03",2621,770,0.293780999618466,221,9,0.0407239819004525,779,0.334504981518919,FALSE,"Inbound shed"
"26077003008","30.08",835,194,0.232335329341317,200,19,0.095,213,0.327335329341317,FALSE,"Inbound shed"
"26077002103","21.03",965,216,0.223834196891192,343,35,0.102040816326531,251,0.325875013217722,FALSE,"Inbound shed"
"26077003302","33.02",2683,461,0.171822586656728,2175,322,0.148045977011494,783,0.319868563668222,FALSE,"Inbound shed"
"26077002104","21.04",2294,493,0.214908456843941,1975,197,0.099746835443038,690,0.314655292286979,FALSE,"Inbound shed"
"26077002801","28.01",1937,430,0.221992772328343,651,58,0.0890937019969278,488,0.311086474325271,FALSE,"Inbound shed"
"26077002901","29.01",1641,369,0.224862888482633,854,70,0.0819672131147541,439,0.306830101597387,FALSE,"Inbound shed"
"26077002102","21.02",1387,296,0.213410237923576,293,26,0.0887372013651877,322,0.302147439288764,FALSE,"Inbound shed"
"26159011003","110.03",1791,324,0.180904522613065,2771,333,0.120173222663298,657,0.301077745276364,FALSE,"Inbound shed"
"26077006102","61.02",1701,303,0.178130511463845,1907,193,0.101206082852648,496,0.279336594316493,FALSE,"Inbound shed"
"26159011900","119",2576,498,0.19332298136646,1407,118,0.0838663823738451,616,0.277189363740305,FALSE,"Inbound shed"
"26077002601","26.01",2015,355,0.176178660049628,992,97,0.0977822580645161,452,0.273960918114144,FALSE,"Inbound shed"
"26077002702","27.02",2238,473,0.211349419124218,529,30,0.056710775047259,503,0.268060194171477,FALSE,"Inbound shed"
"26077006103","61.03",2333,435,0.186455207886841,1193,97,0.0813076278290025,532,0.267762835715843,FALSE,"Inbound shed"
"26005032100","321",2236,275,0.12298747763864,3123,428,0.137047710534742,703,0.260035188173383,FALSE,"Inbound shed"
"26077002701","27.01",1297,260,0.200462606013878,1312,62,0.0472560975609756,322,0.247718703574854,FALSE,"Inbound shed"
"26159010902","109.02",1795,308,0.171587743732591,177,13,0.0734463276836158,321,0.245034071416206,FALSE,"Inbound shed"
"26077006601","66.01",2162,350,0.161887141535615,659,50,0.0758725341426404,400,0.237759675678256,FALSE,"Inbound shed"
"26159010901","109.01",1608,236,0.146766169154229,188,14,0.074468085106383,250,0.221234254260612,FALSE,"Inbound shed"
"26077006701","67.01",1169,178,0.152266894781865,2028,139,0.0685404339250493,317,0.220807328706914,FALSE,"Inbound shed"
"26077003002","30.02",1146,203,0.177137870855148,133,5,0.037593984962406,208,0.214731855817554,FALSE,"Inbound shed"
"26015010500","105",1401,191,0.13633119200571,194,9,0.0463917525773196,200,0.18272294458303,FALSE,"Inbound shed"
"26159011802","118.02",1803,231,0.128119800332779,2443,126,0.0515759312320917,357,0.17969573156487,FALSE,"Inbound shed"
"26159011801","118.01",1057,142,0.13434247871334,1125,47,0.0417777777777778,189,0.176120256491117,FALSE,"Inbound shed"
"26159010102","101.02",1020,159,0.155882352941176,102,2,0.0196078431372549,161,0.175490196078431,FALSE,"Inbound shed"
"26159011602","116.02",953,112,0.117523609653725,93,5,0.0537634408602151,117,0.17128705051394,FALSE,"Inbound shed"
"26005032000","320",2455,294,0.119755600814664,1101,55,0.0499545867393279,349,0.169710187553992,FALSE,"Inbound shed"
"26077003400","34",1367,167,0.122165325530358,253,11,0.0434782608695652,178,0.165643586399924,FALSE,"Inbound shed"
"26149040100","401",1471,130,0.08837525492862,2057,131,0.0636849781234808,261,0.152060233052101,FALSE,"Inbound shed"
"26005031800","318",2200,233,0.105909090909091,891,39,0.0437710437710438,272,0.149680134680135,FALSE,"Inbound shed"
"26005031900","319",2361,234,0.0991105463786531,2085,88,0.0422062350119904,322,0.141316781390644,FALSE,"Inbound shed"
"26015010601","106.01",1490,154,0.103355704697987,674,23,0.0341246290801187,177,0.137480333778105,FALSE,"Inbound shed"
"26015010602","106.02",1365,108,0.0791208791208791,230,13,0.0565217391304348,121,0.135642618251314,FALSE,"Inbound shed"
"26159010101","101.01",1671,154,0.0921603830041891,819,32,0.0390720390720391,186,0.131232422076228,FALSE,"Inbound shed"
"26149040900","409",1599,175,0.109443402126329,812,17,0.020935960591133,192,0.130379362717462,FALSE,"Inbound shed"
"26159011004","110.04",1606,171,0.106475716064757,750,16,0.0213333333333333,187,0.12780904939809,FALSE,"Inbound shed"
"26159012002","120.02",683,60,0.0878477306002928,126,3,0.0238095238095238,63,0.111657254409817,FALSE,"Inbound shed"
"26025002500","25",1375,52,0.0378181818181818,202,12,0.0594059405940594,64,0.0972241224122412,FALSE,"Inbound shed"
"26159011601","116.01",1454,91,0.062585969738652,672,16,0.0238095238095238,107,0.0863954935481758,FALSE,"Inbound shed"
"26149040300","403",1042,58,0.0556621880998081,1678,49,0.0292014302741359,107,0.0848636183739439,FALSE,"Inbound shed"
"26025001100","11",1515,52,0.0343234323432343,1732,86,0.0496535796766744,138,0.0839770120199087,FALSE,"Inbound shed"
"26159011300","113",1691,94,0.0555884092253105,1306,37,0.0283307810107198,131,0.0839191902360302,FALSE,"Inbound shed"
"26149041102","411.02",1089,58,0.0532598714416896,733,18,0.0245566166439291,76,0.0778164880856187,FALSE,"Inbound shed"
"26025001801","18.01",943,37,0.039236479321315,262,10,0.0381679389312977,47,0.0774044182526127,FALSE,"Bidirectional tie"
"26025000500","5",1107,41,0.037037037037037,422,17,0.0402843601895735,58,0.0773213972266105,FALSE,"Bidirectional tie"
"26027001702","17.02",688,38,0.0552325581395349,275,6,0.0218181818181818,44,0.0770507399577167,FALSE,"Inbound shed"
"26149041000","410",1472,89,0.0604619565217391,672,11,0.0163690476190476,100,0.0768310041407868,FALSE,"Inbound shed"
"26005031300","313",2268,120,0.0529100529100529,685,16,0.0233576642335766,136,0.0762677171436296,FALSE,"Inbound shed"
"26159012001","120.01",1340,58,0.0432835820895522,1043,34,0.0325982742090125,92,0.0758818562985647,FALSE,"Inbound shed"
"26005031101","311.01",1668,76,0.0455635491606715,545,16,0.0293577981651376,92,0.0749213473258091,FALSE,"Inbound shed"
"26025002200","22",1257,58,0.0461416070007955,139,4,0.0287769784172662,62,0.0749185854180617,FALSE,"Inbound shed"
"26027001701","17.01",1067,65,0.0609184629803187,415,5,0.0120481927710843,70,0.072966655751403,FALSE,"Inbound shed"
"26025001000","10",1424,49,0.0344101123595506,523,20,0.0382409177820268,69,0.0726510301415773,FALSE,"Bidirectional tie"
"26025000300","3",614,20,0.0325732899022801,1971,78,0.0395738203957382,98,0.0721471102980183,FALSE,"Outbound shed"
"26149040200","402",636,30,0.0471698113207547,290,7,0.0241379310344828,37,0.0713077423552375,FALSE,"Bidirectional tie"
"26025000700","7",902,47,0.0521064301552106,1387,26,0.0187454938716655,73,0.0708519240268761,FALSE,"Inbound shed"
"26025001802","18.02",1355,50,0.03690036900369,1957,61,0.031170158405723,111,0.0680705274094131,FALSE,"Inbound shed"
"26025000900","9",1358,47,0.0346097201767305,2478,80,0.0322841000807102,127,0.0668938202574407,FALSE,"Outbound shed"
"26149040400","404",784,37,0.0471938775510204,511,10,0.0195694716242661,47,0.0667633491752865,FALSE,"Bidirectional tie"
"26025003400","34",565,34,0.0601769911504425,762,5,0.00656167979002625,39,0.0667386709404687,FALSE,"Inbound shed"
"26025001700","17",1800,60,0.0333333333333333,474,15,0.0316455696202532,75,0.0649789029535865,FALSE,"Inbound shed"
"26025001900","19",1696,84,0.0495283018867925,2663,41,0.0153961697333834,125,0.0649244716201759,FALSE,"Inbound shed"
"26025004100","41",766,25,0.0326370757180157,2994,95,0.0317301269205077,120,0.0643672026385234,FALSE,"Outbound shed"
"26025002600","26",680,23,0.0338235294117647,8484,247,0.0291136256482791,270,0.0629371550600438,FALSE,"Outbound shed"
"26159010300","103",636,33,0.0518867924528302,884,9,0.0101809954751131,42,0.0620677879279433,FALSE,"Inbound shed"
"26159010202","102.02",858,46,0.0536130536130536,249,2,0.00803212851405622,48,0.0616451821271098,FALSE,"Inbound shed"
"26005031102","311.02",1428,62,0.0434173669467787,1491,26,0.0174379610999329,88,0.0608553280467116,FALSE,"Inbound shed"
"26159010600","106",719,30,0.0417246175243394,693,13,0.0187590187590188,43,0.0604836362833581,FALSE,"Bidirectional tie"
"26149041301","413.01",955,34,0.0356020942408377,1071,25,0.0233426704014939,59,0.0589447646423316,FALSE,"Bidirectional tie"
"26025002000","20",2005,70,0.0349127182044888,1903,45,0.023646873357856,115,0.0585595915623448,FALSE,"Inbound shed"
"26025000600","6",793,32,0.0403530895334174,780,14,0.0179487179487179,46,0.0583018074821353,FALSE,"Bidirectional tie"
"26025001300","13",1568,61,0.0389030612244898,1252,22,0.0175718849840256,83,0.0564749462085154,FALSE,"Inbound shed"
"26025003700","37",1596,61,0.0382205513784461,277,5,0.0180505415162455,66,0.0562710928946916,FALSE,"Inbound shed"
"26159010400","104",837,39,0.046594982078853,1534,13,0.00847457627118644,52,0.0550695583500395,FALSE,"Bidirectional tie"
"26005030501","305.01",1579,40,0.0253324889170361,383,11,0.0287206266318538,51,0.0540531155488899,FALSE,"Bidirectional tie"
"26025003800","38",1618,60,0.0370828182941904,1108,18,0.0162454873646209,78,0.0533283056588113,FALSE,"Inbound shed"
"26025000800","8",1060,42,0.039622641509434,320,4,0.0125,46,0.052122641509434,FALSE,"Bidirectional tie"
"26159011400","114",1403,46,0.0327868852459016,526,10,0.0190114068441065,56,0.0517982920900081,FALSE,"Bidirectional tie"
"26025001500","15",2268,74,0.0326278659611993,1705,32,0.0187683284457478,106,0.0513961944069471,FALSE,"Inbound shed"
"26025002700","27",2511,101,0.0402230187176424,377,4,0.0106100795755968,105,0.0508330982932392,FALSE,"Inbound shed"
"26015010401","104.01",1525,63,0.0413114754098361,211,2,0.00947867298578199,65,0.0507901483956181,FALSE,"Inbound shed"
"26149041101","411.01",1160,30,0.0258620689655172,905,21,0.0232044198895028,51,0.04906648885502,FALSE,"Bidirectional tie"
"26025001600","16",1049,37,0.0352716873212583,653,9,0.0137825421133231,46,0.0490542294345815,FALSE,"Outside threshold"
"26005031200","312",2561,77,0.0300663803201874,5662,106,0.0187212998940304,183,0.0487876802142178,FALSE,"Inbound shed"
"26159010500","105",1212,36,0.0297029702970297,1401,24,0.0171306209850107,60,0.0468335912820404,FALSE,"Bidirectional tie"
"26025002100","21",378,14,0.037037037037037,454,4,0.00881057268722467,18,0.0458476097242617,FALSE,"Outside threshold"
